Id,Course,RaceDate,RaceTime,Race,Type,Class,AgeLimit,Prize,Ran,Distance,Yards,Going,Limit,WinTime,Seconds,FPos,DstBtn,TotalBtn,CardNo,HorseName,Draw,Sp,Age,Stone,Lbs,WeightLBS,Favs,Aid,Trainer,Jockey,Allow,OR,Comments
44652102,"Ayr","04/01/22 00:00:00","12/30/99 14:20:00","Quiz Clothing Novices' Hurdle (GBB Race)","h",3,"4YO plus",8714,5,"2m 4f 100y",4500,"Good to Soft (Good in places)",,"5m 2.72s",302.72,"F",,,5,"Peaceful Sunday (FR)",,22,6,11,8,162,,,"S R B Crawford","D A Jacob",,124,"held up in touch, nudged along 7th, not fluent next, pushed along when fell 3 out"
44652103,"Ayr","04/01/22 00:00:00","12/30/99 14:55:00","Remus Uomo Handicap Hurdle","h",3,"4YO plus",7788,7,"2m",3520,"Good to Soft (Good in places)",130,"3m 56.92s",236.92,"1",,0,7,"Platinumcard",,2,7,10,0,140,"Fav","t1","G Elliott","S Bowen",,104,"midfield, not fluent 3rd, mistake 6th, headway 3 out, not fluent next, pushed along to challenge last, led flat, ran on well"
44652103,"Ayr","04/01/22 00:00:00","12/30/99 14:55:00","Remus Uomo Handicap Hurdle","h",3,"4YO plus",7788,7,"2m",3520,"Good to Soft (Good in places)",130,"3m 56.92s",236.92,"2","1¼",1.25,6,"Soft Risk (FR)",,2.25,6,11,6,160,"2Fav",,"N G Richards","Sean Quinlan",,124,"chased leaders, headway when left in lead 3 out, pushed along before last, ridden and headed after last, kept on well flat"
44652103,"Ayr","04/01/22 00:00:00","12/30/99 14:55:00","Remus Uomo Handicap Hurdle","h",3,"4YO plus",7788,7,"2m",3520,"Good to Soft (Good in places)",130,"3m 56.92s",236.92,"3","3½",4.75,2,"Ingleby Hollow",,40,10,11,7,161,,"t   p","Rebecca Menzies","Nathan Moscrop",,125,"slowly away, held up in rear, headway 6th, took closer order 3 out, pushed along next, every chance last, kept on one pace flat"
44652103,"Ayr","04/01/22 00:00:00","12/30/99 14:55:00","Remus Uomo Handicap Hurdle","h",3,"4YO plus",7788,7,"2m",3520,"Good to Soft (Good in places)",130,"3m 56.92s",236.92,"4","5",9.75,1,"Since Day One",,4.5,6,11,12,166,,,"D McCain Jnr","B S Hughes",,130,"close up, pushed along approaching 2 out, ridden and no extra before last"
44652103,"Ayr","04/01/22 00:00:00","12/30/99 14:55:00","Remus Uomo Handicap Hurdle","h",3,"4YO plus",7788,7,"2m",3520,"Good to Soft (Good in places)",130,"3m 56.92s",236.92,"5","3¼",13,4,"Kihavah",,8,5,11,6,160,,,"Adrian Keatley","C OFarrell",,124,"mid-division, blundered 3rd, dropped to rear when mistake 6th, headway 3 out, pushed along when bad mistake next, soon no extra"
44652103,"Ayr","04/01/22 00:00:00","12/30/99 14:55:00","Remus Uomo Handicap Hurdle","h",3,"4YO plus",7788,7,"2m",3520,"Good to Soft (Good in places)",130,"3m 56.92s",236.92,"6","nk",13.2,5,"Thereisnodoubt",,14,9,11,6,160,,"t1   h","Miss Lucinda V Russell","D R Fox",,124,"chased leaders, mistake 1st, losing place when hampered and dropped to rear 3 out, made no impression"
44652103,"Ayr","04/01/22 00:00:00","12/30/99 14:55:00","Remus Uomo Handicap Hurdle","h",3,"4YO plus",7788,7,"2m",3520,"Good to Soft (Good in places)",130,"3m 56.92s",236.92,"F",,,3,"John Locke",,9,5,11,7,161,,"t","D Skelton","Harry Skelton",,125,"led until stumbled and fell 3 out"
44652104,"Ayr","04/01/22 00:00:00","12/30/99 15:30:00","Hillhouse Quarry Handicap Chase (Listed Race) (GBB Race)","c",1,"5YO plus",22780,7,"2m 4f 110y",4510,"Good to Soft (Good in places)",,"5m 8.06s",308.06,"1",,0,6,"Beakstown",,2.25,9,10,12,152,"Fav","t   p","D Skelton","Harry Skelton",,129,"led, headed 8th, led again after 14th, went clear 3 out, ran on well"
44652104,"Ayr","04/01/22 00:00:00","12/30/99 15:30:00","Hillhouse Quarry Handicap Chase (Listed Race) (GBB Race)","c",1,"5YO plus",22780,7,"2m 4f 110y",4510,"Good to Soft (Good in places)",,"5m 8.06s",308.06,"2","2¼",2.25,5,"Coach Carter",,20,6,11,2,156,,"h","G Elliott","D N Russell",,133,"in rear, mistake 2nd, not fluent 5th, headway approaching 3 out, pushed along before next, not fluent 2 out, went second approaching last, kept on flat"
44652104,"Ayr","04/01/22 00:00:00","12/30/99 15:30:00","Hillhouse Quarry Handicap Chase (Listed Race) (GBB Race)","c",1,"5YO plus",22780,7,"2m 4f 110y",4510,"Good to Soft (Good in places)",,"5m 8.06s",308.06,"3","1¾",4,7,"Nietzsche",,5,9,10,3,143,,"t","B Ellison","Danny McMenamin",,120,"raced keenly in rear, headway before 6th, hampered 8th, headway to chase leaders 4 out where not fluent, ridden before 2 out, kept on from last"
44652104,"Ayr","04/01/22 00:00:00","12/30/99 15:30:00","Hillhouse Quarry Handicap Chase (Listed Race) (GBB Race)","c",1,"5YO plus",22780,7,"2m 4f 110y",4510,"Good to Soft (Good in places)",,"5m 8.06s",308.06,"4","3¾",7.75,3,"Elvis Mail (FR)",,2.5,8,11,10,164,"2Fav","t1","N W Alexander","C OFarrell",,141,"chased leaders, dropped to midfield when hampered 8th, not fluent 10th, headway 12th, headway to challenge when pecked 4 out, soon pushed along, no extra from 2 out"
44652104,"Ayr","04/01/22 00:00:00","12/30/99 15:30:00","Hillhouse Quarry Handicap Chase (Listed Race) (GBB Race)","c",1,"5YO plus",22780,7,"2m 4f 110y",4510,"Good to Soft (Good in places)",,"5m 8.06s",308.06,"5","1",8.75,2,"Whoshotthesheriff",,14,8,11,12,166,,,"P A Kirby","Sean Quinlan",,143,"chased leaders, lost place 13th, pushed along to go second before 3 out, lost second next, ridden approaching last, faded flat"
44652104,"Ayr","04/01/22 00:00:00","12/30/99 15:30:00","Hillhouse Quarry Handicap Chase (Listed Race) (GBB Race)","c",1,"5YO plus",22780,7,"2m 4f 110y",4510,"Good to Soft (Good in places)",,"5m 8.06s",308.06,"F",,,1,"Presentandcounting",,14,8,11,12,166,,,"D McCain Jnr","B S Hughes",,143,"midfield, went second 7th, led next, headed after 14th, lost place approaching 4 out, ridden and keeping on when fell 2 out"
44652104,"Ayr","04/01/22 00:00:00","12/30/99 15:30:00","Hillhouse Quarry Handicap Chase (Listed Race) (GBB Race)","c",1,"5YO plus",22780,7,"2m 4f 110y",4510,"Good to Soft (Good in places)",,"5m 8.06s",308.06,"U",,,4,"Flic Ou Voyou (FR)",,5,8,11,4,158,,"p","P F Nicholls","Bryony Frost",,135,"close up, blundered 7th and lost place, bad mistake and unseated rider next"
44652105,"Ayr","04/01/22 00:00:00","12/30/99 16:05:00","Coral Mares' Handicap Hurdle (GBB Race)","h",2,"4YO plus",15609,9,"3m 70y",5350,"Good to Soft (Good in places)",,"6m 6.75s",366.75,"1",,0,1,"Get A Tonic",,2.5,6,11,12,166,"Fav",,"D Skelton","Harry Skelton",,130,"chased leaders, headway going okay approaching 2 out, led before last, ridden flat, ran on well"
44652105,"Ayr","04/01/22 00:00:00","12/30/99 16:05:00","Coral Mares' Handicap Hurdle (GBB Race)","h",2,"4YO plus",15609,9,"3m 70y",5350,"Good to Soft (Good in places)",,"6m 6.75s",366.75,"2","1½",1.5,5,"Motown Maggie",,8.5,5,11,1,155,,"p","G Elliott","D N Russell",,119,"towards rear, headway approaching 3 out, pushed along before next, ridden approaching last, stayed on well flat, went second final strides"
44652105,"Ayr","04/01/22 00:00:00","12/30/99 16:05:00","Coral Mares' Handicap Hurdle (GBB Race)","h",2,"4YO plus",15609,9,"3m 70y",5350,"Good to Soft (Good in places)",,"6m 6.75s",366.75,"3","nk",1.7,4,"Wynn House",,12,7,11,4,158,,"p","A King","Tom Cannon",,122,"chased leaders, ridden to challenge and led approaching 2 out, headed before last where not fluent, kept on flat, lost second final strides"
44652105,"Ayr","04/01/22 00:00:00","12/30/99 16:05:00","Coral Mares' Handicap Hurdle (GBB Race)","h",2,"4YO plus",15609,9,"3m 70y",5350,"Good to Soft (Good in places)",,"6m 6.75s",366.75,"4","1",2.7,7,"Flower Of Scotland (FR)",,10,7,10,11,151,,,"A M Thomson","Ryan Mania",,115,"midfield, headway to chase leaders 3 out, soon pushed along, ridden approaching last, kept on flat"
44652105,"Ayr","04/01/22 00:00:00","12/30/99 16:05:00","Coral Mares' Handicap Hurdle (GBB Race)","h",2,"4YO plus",15609,9,"3m 70y",5350,"Good to Soft (Good in places)",,"6m 6.75s",366.75,"5","2",4.7,9,"Jessiemac",,20,8,9,9,135,,"t","I A Duncan","Thomas Willmott",5,104,"midfield, lost place and pushed along before 3 out, plugged on one pace from 2 out"
44652105,"Ayr","04/01/22 00:00:00","12/30/99 16:05:00","Coral Mares' Handicap Hurdle (GBB Race)","h",2,"4YO plus",15609,9,"3m 70y",5350,"Good to Soft (Good in places)",,"6m 6.75s",366.75,"6","5½",10.2,8,"Timeless Beauty",,5,7,10,11,151,,"t","F OBrien","Adrian Heskin",,115,"close up, led after 3rd, headed after 6th, led again next, pushed along 3 out, headed approaching 2 out, held when hampered last"
44652105,"Ayr","04/01/22 00:00:00","12/30/99 16:05:00","Coral Mares' Handicap Hurdle (GBB Race)","h",2,"4YO plus",15609,9,"3m 70y",5350,"Good to Soft (Good in places)",,"6m 6.75s",366.75,"7","3",13.2,3,"Glimpse Of Gala",,5.5,6,10,11,151,,,"C E Longsdon","Mr B Roberts",7,122,"led, headed after 3rd, led after 6th, not fluent and headed 7th, lost place approaching 3 out, ridden and weakened before next"
44652105,"Ayr","04/01/22 00:00:00","12/30/99 16:05:00","Coral Mares' Handicap Hurdle (GBB Race)","h",2,"4YO plus",15609,9,"3m 70y",5350,"Good to Soft (Good in places)",,"6m 6.75s",366.75,"8","14",27.2,2,"Pearl Of The West",,40,8,11,9,163,,"t","J C McConnell","B S Hughes",,127,"held up in rear, pushed along after 3 out, made no impression"
44652105,"Ayr","04/01/22 00:00:00","12/30/99 16:05:00","Coral Mares' Handicap Hurdle (GBB Race)","h",2,"4YO plus",15609,9,"3m 70y",5350,"Good to Soft (Good in places)",,"6m 6.75s",366.75,"F",,,6,"Aurora Thunder",,4.5,8,10,8,148,"2Fav",,"Miss Lucinda V Russell","Alan Doyle",7,119,"towards rear, headway into midfield 6th, good headway to chase leaders 3 out, pushed along to challenge 2 out, every chance when fell last"
44652106,"Ayr","04/01/22 00:00:00","12/30/99 16:40:00","Seko Logistics Scotland Novices' Limited Handicap Chase (GBB Race)","c",3,"5YO plus",7407,4,"2m 110y",3630,"Good to Soft (Good in places)",130,"4m 3.22s",243.22,"1",,0,4,"Dubai Days",,0.666666667,8,10,10,150,"Fav","h","N W Alexander","Bruce Lynn",5,122,"raced in third, stumbled 4 out, ridden approaching 2 out, led 2 out, awkward last, ran on well"
44652106,"Ayr","04/01/22 00:00:00","12/30/99 16:40:00","Seko Logistics Scotland Novices' Limited Handicap Chase (GBB Race)","c",3,"5YO plus",7407,4,"2m 110y",3630,"Good to Soft (Good in places)",130,"4m 3.22s",243.22,"2","3",3,2,"Dino Velvet (FR)",,3.333333333,9,11,6,160,"2Fav",,"A King","Adrian Heskin",,127,"chased leader, led 4 out, headed next, ridden before last, kept on flat, no match for winner"
44652106,"Ayr","04/01/22 00:00:00","12/30/99 16:40:00","Seko Logistics Scotland Novices' Limited Handicap Chase (GBB Race)","c",3,"5YO plus",7407,4,"2m 110y",3630,"Good to Soft (Good in places)",130,"4m 3.22s",243.22,"3","3¾",6.75,3,"The Mouse Doctor",,8,9,11,0,154,,"t","Adrian Keatley","Tom Midgley",5,126,"held up in touch, hit 9th, pushed along when not fluent 3 out, ridden before next, kept on to go third flat"
44652106,"Ayr","04/01/22 00:00:00","12/30/99 16:40:00","Seko Logistics Scotland Novices' Limited Handicap Chase (GBB Race)","c",3,"5YO plus",7407,4,"2m 110y",3630,"Good to Soft (Good in places)",130,"4m 3.22s",243.22,"4","hd",6.9,1,"Heartbreak Kid",,6,7,11,8,162,,"b","D McCain Jnr","B S Hughes",,129,"led, niggled along before 4 out, headed 4 out, rallied to lead again next, mistake and headed 2 out, kept on one pace after last, lost third flat"
44652107,"Ayr","04/01/22 00:00:00","12/30/99 17:15:00","Thistle Cabs Group Handicap Hurdle","h",3,"4YO plus",7788,9,"3m 70y",5350,"Good to Soft (Good in places)",125,"6m 6.53s",366.53,"1",,0,9,"Stringtoyourbow",,3,5,10,4,144,"Fav",,"Christian Williams","Jack Tudor",,101,"travelled strongly, mid-division, headway to chase leaders 9th, led going well 3 out, went clear on bridle approaching last, pushed further clear flat, easily"
44652107,"Ayr","04/01/22 00:00:00","12/30/99 17:15:00","Thistle Cabs Group Handicap Hurdle","h",3,"4YO plus",7788,9,"3m 70y",5350,"Good to Soft (Good in places)",125,"6m 6.53s",366.53,"2","8½",8.5,7,"Colonel Manderson (FR)",,4,6,11,1,155,"2Fav",,"D Skelton","Harry Skelton",,112,"midfield, not fluent 7th, pushed along 3 out, ridden before last, ran on for second flat, no match for winner"
44652107,"Ayr","04/01/22 00:00:00","12/30/99 17:15:00","Thistle Cabs Group Handicap Hurdle","h",3,"4YO plus",7788,9,"3m 70y",5350,"Good to Soft (Good in places)",125,"6m 6.53s",366.53,"3","shd",8.550000000000001,3,"Ballycoose",,16,5,11,9,163,,,"S R B Crawford","D A Jacob",,120,"towards rear, headway 3 out, ridden approaching last, kept on flat, just held for second"
44652107,"Ayr","04/01/22 00:00:00","12/30/99 17:15:00","Thistle Cabs Group Handicap Hurdle","h",3,"4YO plus",7788,9,"3m 70y",5350,"Good to Soft (Good in places)",125,"6m 6.53s",366.53,"4","½",9.050000000000001,6,"Deluxe Range",,6,7,11,3,157,,"p","A M Thomson","Ryan Mania",,114,"midfield, nudged along 8th, headway before 3 out, pushed along approaching next, ridden after last, kept on"
44652107,"Ayr","04/01/22 00:00:00","12/30/99 17:15:00","Thistle Cabs Group Handicap Hurdle","h",3,"4YO plus",7788,9,"3m 70y",5350,"Good to Soft (Good in places)",125,"6m 6.53s",366.53,"5","hd",9.199999999999999,4,"Your Own Story",,6,6,11,6,160,,,"Miss Lucinda V Russell","D R Fox",,117,"prominent, lost place 7th, pushed along 3 out, ridden next, kept on from last"
44652107,"Ayr","04/01/22 00:00:00","12/30/99 17:15:00","Thistle Cabs Group Handicap Hurdle","h",3,"4YO plus",7788,9,"3m 70y",5350,"Good to Soft (Good in places)",125,"6m 6.53s",366.53,"6","nk",9.4,2,"Skatman",,12,7,11,10,164,,"t","P F Nicholls","S Bowen",,121,"raced keenly, led, headed 3 out, soon pushed along, no extra from last"
44652107,"Ayr","04/01/22 00:00:00","12/30/99 17:15:00","Thistle Cabs Group Handicap Hurdle","h",3,"4YO plus",7788,9,"3m 70y",5350,"Good to Soft (Good in places)",125,"6m 6.53s",366.53,"7","2",11.4,1,"Loughderg Rocco",,7,6,11,12,166,,"p1","L J Morgan","Harry Reed",,123,"chased leaders, pushed along approaching 3 out, not fluent next, made no impression from last"
44652107,"Ayr","04/01/22 00:00:00","12/30/99 17:15:00","Thistle Cabs Group Handicap Hurdle","h",3,"4YO plus",7788,9,"3m 70y",5350,"Good to Soft (Good in places)",125,"6m 6.53s",366.53,"8","¾",12.15,5,"Taxmeifyoucan",,25,8,11,4,158,,"v","K Dalgleish","B S Hughes",,115,"held up in rear, ridden 3 out, never in contention"
44652107,"Ayr","04/01/22 00:00:00","12/30/99 17:15:00","Thistle Cabs Group Handicap Hurdle","h",3,"4YO plus",7788,9,"3m 70y",5350,"Good to Soft (Good in places)",125,"6m 6.53s",366.53,"9","1½",13.65,8,"Smokey The Bandit",,9,7,10,5,145,,"b","N G Richards","Danny McMenamin",,102,"chased leaders, ridden for effort before 2 out, not fluent last, soon weakened"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"1",,0,5,"Jiffy Boy",12,4,2,9,5,131,,,"Robyn Brisland","David Probert",,,"made all under stand side rail, pushed along over 1f out, ran on"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"2","1¼",1.25,11,"Evolicatt",4,7.5,2,9,0,126,,,"P D Evans","George Downing",,,"raced wide tracked winner, pushed along 2f out, ridden and kept on one pace inside final furlong"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"3","¾",2,9,"Rousing Encore",9,14,2,9,5,131,,,"R A Fahey","P Hanagan",,,"dwelt, towards rear, keen when headway 3f out, ridden to chase leaders over 1f out, kept on one pace"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"4","½",2.5,4,"Global Effort",1,12,2,9,5,131,,,"C A Dwyer","S De Sousa",,,"raced wide in touch, pushed along and headway 2f out, ridden and stayed on one pace final furlong"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"5","1½",4,10,"Strength n Honour",2,11,2,9,5,131,,,"Charlie Fellowes","David Egan",,,"raced wide towards rear, pushed along and headway over 1f out, kept on same pace"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"6","3",7,6,"Man Made Of Smoke",5,66,2,9,0,126,,,"P D Evans","Gina Mangan",5,,"towards rear, pushed along 2f out, ridden and kept on inside final furlong, never nearer"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"7","2¼",9.25,7,"Mirabello Bay",7,150,2,9,5,131,,,"J S Moore","J F Egan",,,"close up, pushed along 2f out, weakened final furlong"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"8","2¼",11.5,12,"Sassy Redhead",6,22,2,9,0,126,,,"W Stone","Hollie Doyle",,,"keen towards rear, pushed along halfway, never on terms"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"9","2¼",13.75,2,"Cheeky Maxi",11,1.875,2,9,5,131,"Fav",,"R Hannon","Rossa Ryan",,,"dwelt, soon tracked leaders, ridden 2f out, soon weakened"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"10","1",14.75,1,"Camacho Star",3,3.333333333,2,9,5,131,"2Fav",,"K A Ryan","Kevin Stott",,,"raced wide, close up, pushed along 2f out, weakened approaching final furlong"
44652108,"Leicester","04/01/22 00:00:00","12/30/99 13:00:00","British Stallion Studs EBF Novice Stakes (GBB Race)",,5,"2YO only",4320,11,"5f",1100,"Good to Soft (Soft in places)",,"1m 3.71s",63.71,"11","nse",14.77,8,"Rhodium",10,125,2,9,5,131,,,"J Gallagher","Hector Crouch",,,"slowly away, behind, pushed along halfway, never on terms"
44652109,"Leicester","04/01/22 00:00:00","12/30/99 13:35:00","Bet At racingtv.com Handicap",,4,"4YO plus",5076,10,"1m 53y",1813,"Good to Soft (Soft in places)",80,"1m 48.52s",108.52,"1",,0,8,"Dark Spec",3,3.5,7,9,5,131,"Fav",,"Mrs P Sly","S W Kelly",,77,"tracked leaders, led inside final furlong, soon edged left, pushed out"
44652109,"Leicester","04/01/22 00:00:00","12/30/99 13:35:00","Bet At racingtv.com Handicap",,4,"4YO plus",5076,10,"1m 53y",1813,"Good to Soft (Soft in places)",80,"1m 48.52s",108.52,"2","2¼",2.25,4,"Freedom And Wheat",6,18,6,9,6,132,,"p","M Blake","Marco Ghiani",,78,"in touch, pushed along and headway 2f out, soon every chance, ridden and stayed on final furlong"
44652109,"Leicester","04/01/22 00:00:00","12/30/99 13:35:00","Bet At racingtv.com Handicap",,4,"4YO plus",5076,10,"1m 53y",1813,"Good to Soft (Soft in places)",80,"1m 48.52s",108.52,"3","1¼",3.5,7,"Helm Rock",10,4,4,9,5,131,"2Fav","t","D & C Kubler","R Kingscote",,77,"tracked leader, ridden and every chance over 1f out, kept on one pace"
44652109,"Leicester","04/01/22 00:00:00","12/30/99 13:35:00","Bet At racingtv.com Handicap",,4,"4YO plus",5076,10,"1m 53y",1813,"Good to Soft (Soft in places)",80,"1m 48.52s",108.52,"4","nk",3.7,6,"Grangeclare View",4,14,4,9,5,131,,,"R A Fahey","P Hanagan",,77,"keen in touch, ridden and headway over 1f out, ran on, nearest finish"
44652109,"Leicester","04/01/22 00:00:00","12/30/99 13:35:00","Bet At racingtv.com Handicap",,4,"4YO plus",5076,10,"1m 53y",1813,"Good to Soft (Soft in places)",80,"1m 48.52s",108.52,"5","shd",3.75,10,"Kaaranah",8,14,4,8,10,122,,,"J Butler","Harry Burns",5,73,"held up, pushed along over 1f out, ran on towards finish, nearest finish"
44652109,"Leicester","04/01/22 00:00:00","12/30/99 13:35:00","Bet At racingtv.com Handicap",,4,"4YO plus",5076,10,"1m 53y",1813,"Good to Soft (Soft in places)",80,"1m 48.52s",108.52,"6","½",4.25,5,"Hover",9,7,5,9,5,131,,,"M Meade","Tom Marquand",,77,"raced wide close up, ridden 2f out, weakened inside final furlong"
44652109,"Leicester","04/01/22 00:00:00","12/30/99 13:35:00","Bet At racingtv.com Handicap",,4,"4YO plus",5076,10,"1m 53y",1813,"Good to Soft (Soft in places)",80,"1m 48.52s",108.52,"7","2¾",7,9,"Old News",1,14,5,9,5,131,,"b","Mrs L Stubbs","Hollie Doyle",,77,"slow into stride, held up, pushed along over 1f out, never nearer"
