,Id,RaceTime,Race,Type,Class,AgeLimit,Ran,Yards,TotalBtn,Sp,Age,WeightLBS,Trainer,Jockey,Going 2,HorseName2,Course2,Region2,predictions,totalbtn_rank,predictions_rank,sp_rank
12581,44253130,19:45,ladbrokes watch racing online for free handicap,nan,3.0,3yo only,4.0,1902.0,2.4,3.5,3.0,122.0,a m balding,joshua bryan,standard,Henrik,wolverhampton,eng,2.7772617,4.0,1.0,3.0
12931,44254131,13:45,red mills trial hurdle (grade 3),h,1.0,4yo plus,5.0,3520.0,31.5,3.3333329999999997,6.0,160.0,n meade,s w flanagan,soft,Sixshooter,fairyhouse ,ire,9.4797,4.0,1.0,3.0
13088,44255117,15:00,paddy power betting shop novice hurdle (grade 2),h,1.0,4yo plus,7.0,3401.0,12.5,5.0,5.0,159.0,n meade,s w flanagan,yielding,Jesse Evans,naas ,ire,5.5437603,4.0,1.0,3.0
13248,44256113,15:15,call star sports on 08000 521 321 handicap hurdle,h,5.0,4yo plus,13.0,5497.0,16.5,3.0,6.0,158.0,robert walford,bryan carver,good,One For Dunstan,plumpton,eng,-3.6328592,3.0,1.0,3.0
13488,44257108,14:10,watch on racing tv handicap chase,c,5.0,5yo plus,11.0,4991.0,6.0,8.0,7.0,166.0,miss kerry lee,richard patrick,soft,Do It For Thy Sen,leicester,eng,3.1562586,4.0,1.0,3.0
13737,44258109,13:40,betway handicap,nan,6.0,4yo plus,13.0,2200.0,2.25,5.499999999999998,5.0,120.0,g p mcpherson,rhys clutterbuck,standard,Dawn Treader,lingfield,eng,0.19232662,2.0,1.0,3.0
14746,44261111,14:05,bet365 handicap hurdle (gbb race),h,2.0,4yo plus,9.0,4589.0,0.0,4.5,6.0,161.0,p f nicholls,h cobden,good to soft,Flash Collonges ,kelso,eng,7.0355806,1.0,1.0,3.0
14793,44261117,12:15,"bombardier ""march to your own drum"" handicap",nan,3.0,4yo plus,7.0,1761.0,2.0,3.5,6.0,127.0,tom ward,laura coughlan,standard,Tintoretto,lingfield,eng,2.8794117,3.0,1.0,3.0
15397,44263118,18:10,betway handicap,nan,2.0,4yo plus,5.0,2691.0,10.5,5.0,4.0,127.0,a king,m harley,standard,Midnights Legacy,wolverhampton,eng,1.897545,5.0,1.0,3.0
15692,44264119,18:40,bombardier handicap,nan,4.0,4yo plus,7.0,1773.0,8.45,4.5,5.0,135.0,p d evans,c lee,standard,Snow Ocean,southwell,eng,6.387683,4.0,1.0,3.0
15929,44265119,18:15,try our new price boosts at unibet handicap,nan,6.0,3yo only,13.0,1760.0,11.25,5.499999999999998,3.0,126.0,s kirk,p j mcdonald,standard,Study The Stars,kempton,eng,3.4736013,9.0,1.0,3.0
16014,44265129,15:55,ladbrokes watch racing online for free handicap,nan,3.0,3yo only,8.0,1321.0,2.25,6.0,3.0,130.0,j l eyre,lewis edmunds,standard,Bedford Flyer,lingfield,eng,2.0871391,4.0,1.0,3.0
16340,44266133,16:15,killinan handicap hurdle,h,0.0,4yo plus,14.0,3562.0,20.65,6.5,6.0,165.0,j g murphy,d meyler,heavy,Vitudurum,thurles ,ire,17.833872,9.0,1.0,3.0
16354,44266135,17:15,thurles handicap hurdle,h,0.0,4yo plus,9.0,5104.0,0.0,4.5,6.0,164.0,j f levins,r a doyle,heavy,Whirling Dervish,thurles ,ire,10.902533,1.0,1.0,3.0
16601,44267130,17:25,irishinjuredjockeys.com claiming race,nan,0.0,3yo only,10.0,1540.0,8.55,6.5,3.0,120.0,mrs d foster,sam ewing,standard,Catherine Chroi,dundalk ,ire,1.4834214,7.0,1.0,3.0
16623,44267132,18:30,dundalkstadium.com handicap,nan,0.0,4yo plus,6.0,2640.0,4.1,3.3333329999999997,4.0,136.0,a mcguinness,c t keane,standard,Pure Nature,dundalk ,ire,1.7164813,4.0,1.0,3.0
16827,44268114,20:20,tote.co.uk now never beaten by sp handicap,nan,6.0,4yo plus,9.0,3080.0,3.75,4.5,4.0,134.0,m r channon,charles bishop,standard,Single,chelmsford city,eng,10.2381735,4.0,1.0,3.0
17057,44268143,16:30,irish stallion farms ebf novice handicap chase final (grade b),c,0.0,5yo plus,12.0,5280.0,12.75,7.5,7.0,148.0,n meade,e walsh,heavy,Eurobot,navan ,ire,15.32239,3.0,1.0,3.0
17770,44271111,18:45,"bombardier ""march to your own drum"" handicap",nan,4.0,4yo plus,5.0,1554.0,0.02,4.5,5.0,110.0,m l w bell,alex jary,standard,Greek Kodiac,newcastle,eng,2.92208,2.0,1.0,3.0
18607,44274113,16:05,country food trust fakenham silver cup handicap hurdle,h,3.0,4yo plus,11.0,3523.0,9.75,4.000000000000002,5.0,166.0,stuart edmunds,c gethings,good to soft,Rowland Ward,fakenham,eng,12.804626,4.0,1.0,3.0
18718,44274128,20:15,play 4 to score at betway handicap,nan,5.0,4yo plus,4.0,2654.0,8.0,12.0,6.0,124.0,s dixon,jonathan fisher,standard,Sociologist ,southwell,eng,6.511936,4.0,1.0,3.0
19695,44277119,15:03,sky sports racing hd virgin 535 handicap hurdle,h,4.0,4yo plus,13.0,4488.0,1.25,6.0,6.0,149.0,g p mcpherson,kielan woods,good to soft,Getthepot,southwell,eng,14.005079,3.0,1.0,3.0
19982,44278120,15:55,watch irish racing on racing tv handicap chase,c,4.0,5yo plus,10.0,4265.0,6.5,6.0,8.0,161.0,w coltherd,sam coltherd,good to soft,Maid Omalley,wetherby,eng,7.3166,2.0,1.0,3.0
20506,44280127,16:35,mallow handicap hurdle,h,0.0,5yo plus,7.0,5280.0,7.5,4.5,5.0,151.0,miss e doyle,s w flanagan,yielding,Ciao Bella ,cork ,ire,17.179338,4.0,1.0,3.0
21267,44282142,15:00,follow us on twitter handicap,nan,0.0,3yo only,17.0,2200.0,3.75,6.5,3.0,138.0,john patrick murtagh,b m coen,heavy,Sassified,navan ,ire,9.142404,2.0,1.0,3.0
21597,44283128,16:20,hugh mcmahon memorial novice chase (grade 3),c,1.0,5yo plus,5.0,5400.0,11.0,3.5,8.0,156.0,mrs d foster,s w flanagan,heavy,Defi Bleu ,limerick ,ire,10.10878,2.0,1.0,3.0
21739,44284102,14:10,call star sports on 08000 521 321 handicap chase,c,5.0,5yo plus,7.0,5710.0,1.25,5.499999999999998,10.0,135.0,j l flint,charlie price,good to firm,Monty Massini,fontwell,eng,12.631785,2.0,1.0,3.0
21844,44284116,17:30,every race live on racing tv standard open national hunt flat race (gbb race),b,5.0,4yo to 6yo,12.0,3590.0,62.75,4.000000000000002,4.0,147.0,mrs l wadham,aidan coleman,good,Gigabit,stratford,eng,12.715115,9.0,1.0,3.0
21913,44284125,17:20,play 4 to win at betway handicap,nan,5.0,4yo plus,11.0,2691.0,7.0,4.5,4.0,126.0,j butler,james doyle,standard,Arabescato,wolverhampton,eng,6.068655,6.0,1.0,3.0
22155,44285126,18:10,play 4 to win at betway handicap,nan,5.0,4yo plus,6.0,1121.0,1.77,3.0,10.0,128.0,s c williams,marco ghiani,standard,Shamshon,wolverhampton,eng,0.08163174,3.0,1.0,3.0
22212,44286105,16:10,attheraces.com handicap hurdle,h,5.0,4yo plus,9.0,4428.0,0.75,4.000000000000002,8.0,142.0,m a barnes,k yeoman,good to soft,Farocco ,hexham,eng,15.265259,2.0,1.0,3.0
22492,44286137,19:00,irish stallion farms ebf median auction maiden (plus 10 race),nan,0.0,3yo plus,14.0,1540.0,6.69,3.5,3.0,128.0,m ocallaghan,l f roche,standard,Zara Mac,dundalk ,ire,2.7757006,8.0,1.0,3.0
22730,44287125,13:45,every race live on racing tv selling hurdle,h,4.0,4yo plus,6.0,4334.0,3.25,5.0,7.0,147.0,mrs corbett,sam coltherd,good,Lets Sway,wetherby,eng,16.149887,2.0,1.0,3.0
23016,44288122,16:30,bombardier british hopped amber beer handicap,nan,6.0,4yo plus,12.0,1554.0,1.57,6.5,7.0,129.0,grant tuer,s h james,standard,Etikaal,newcastle,eng,3.363634,5.0,1.0,3.0
23322,44289132,17:20,watch free race replays on attheraces.com handicap,nan,5.0,3yo only,5.0,2691.0,16.75,6.0,3.0,129.0,s & e crisford,t eaves,standard,Act Naturally,wolverhampton,eng,5.9340897,4.0,1.0,3.0
23871,44290133,15:20,irish stallion farms ebf mares novice hurdle championship final (grade 1),h,1.0,4yo plus,12.0,4400.0,0.5,5.0,5.0,163.0,w p mullins,p townend,yielding,Gauloise ,fairyhouse ,ire,12.259174,2.0,1.0,3.0
24100,44291127,15:25,market cross jewellers handicap,nan,3.0,4yo plus,12.0,1316.9999999999998,5.5,7.0,9.0,133.0,g a harker,s h james,good to firm,Wentworth Falls,redcar,eng,4.196912,8.0,1.0,3.0
24154,44291132,13:55,visit attheraces.com handicap,nan,4.0,3yo only,7.0,1576.0,2.25,4.000000000000002,3.0,118.0,m johnston,andrew breslin,standard,Cuban Dancer,wolverhampton,eng,3.6945887,4.0,1.0,3.0
24340,44291151,17:00,boylesports irish grand national chase (extended handicap chase) (grade a),c,1.0,5yo plus,28.0,6430.0,1.25,9.0,7.0,151.0,mrs d foster,j w kennedy,yielding,Run Wild Fred,fairyhouse ,ire,7.917273,2.0,1.0,3.0
24363,44291152,17:40,fred kenny lifetime service to racing handicap chase,c,0.0,5yo plus,12.0,5430.0,18.85,8.5,7.0,160.0,m f morris,d j okeeffe,yielding,Foxy Jacks,fairyhouse ,ire,18.882118,6.0,1.0,3.0
24518,44292120,15:20,every race live on racing tv handicap chase,c,4.0,5yo plus,5.0,5334.0,0.0,3.5,9.0,150.0,chris honour,bryan carver,good to firm,Troed Y Melin,exeter,eng,12.827915,1.0,1.0,3.0
24652,44293107,16:50,every race live on racing tv handicap,nan,6.0,3yo only,9.0,1312.0,0.0,5.0,3.0,119.0,m r channon,edward greatrex,good to firm,Nodsasgoodasawink,catterick,eng,3.1950817,1.0,1.0,3.0
24668,44293109,13:30,sky sports racing sky 415 handicap,nan,6.0,4yo plus,14.0,2200.0,0.75,6.0,5.0,128.0,m madgwick,stefano cherchi,standard,Stormbomber ,lingfield,eng,5.856761,2.0,1.0,3.0
26436,44298118,14:10,sky sports racing sky 415 handicap,nan,6.0,3yo only,13.0,1121.0,1.95,5.499999999999998,3.0,135.0,b r millman,oisin murphy,good,Toptime,windsor,eng,3.632371,5.0,1.0,3.0
26484,44298122,16:10,watch free race replays on attheraces.com handicap,nan,5.0,3yo only,14.0,1791.0,5.17,8.0,3.0,128.0,a m balding,oisin murphy,good,Rushmore,windsor,eng,6.9645286,8.0,1.0,3.0
26713,44299117,13:50,newtonabbotracing.com handicap hurdle,h,3.0,4yo plus,5.0,3687.0,0.0,10.0,4.0,141.0,evan williams,t j obrien,good,State Crown,newton abbot,eng,16.422016,1.0,1.0,3.0
27883,44302132,14:50,dubai duty free full of surprises handicap,nan,2.0,3yo only,16.0,1540.0,4.0,8.0,3.0,121.0,d j coakley,hollie doyle,good,Caribou,newbury,eng,5.5646667,4.0,1.0,3.0
28749,44304140,14:03,adare manor opportunity maiden hurdle,h,0.0,4yo plus,13.0,4470.0,27.9,5.0,6.0,149.0,j p okeeffe,m p oconnor,good,Little Token,tramore ,ire,8.15599,4.0,1.0,3.0
29011,44305131,13:40,sky sports racing hd virgin 535 handicap,nan,5.0,4yo plus,7.0,2519.0,2.0,3.5,7.0,133.0,b r millman,j f egan,good to firm,Hawridge Flyer,windsor,eng,3.1003628,2.0,1.0,3.0
29335,44306116,18:00,advertiser ladies day handicap,nan,6.0,3yo only,11.0,1094.0,0.0,5.499999999999998,3.0,135.0,t d easterby,d allan,standard,Dan De Light,southwell,eng,6.9436703,1.0,1.0,3.0
29677,44307105,16:00,racing tv profits returned to racing handicap,nan,5.0,4yo plus,7.0,2653.0,4.75,5.499999999999998,4.0,130.0,m todhunter,g lee,good to firm,Molinari,catterick,eng,8.427131,3.0,1.0,3.0
29743,44307113,18:40,free tips daily on attheraces.com handicap,nan,5.0,4yo plus,7.0,1321.0,1.2,4.000000000000002,7.0,127.0,m j attwater,rhys clutterbuck,standard,Cappananty Con,lingfield,eng,1.0207616,3.0,1.0,3.0
29965,44307141,18:50,irishinjuredjockeys.com handicap,nan,0.0,4yo plus,12.0,1540.0,5.8,5.0,5.0,133.0,j c mcconnell,r p cleary,standard,Beleaguerment,dundalk ,ire,1.7852145,9.0,1.0,3.0
30435,44309113,16:00,download the at the races app fillies' handicap,nan,5.0,4yo plus,8.0,1322.0,2.4,3.0,4.0,130.0,c f wall,jack mitchell,good to firm,Molly Shaw,doncaster,eng,-0.8881988,4.0,1.0,3.0
30989,44310127,15:50,visit attheraces.com handicap,nan,2.0,4yo plus,3.0,3520.0,0.15,4.5,4.0,117.0,m johnston,oliver stammers,good to firm,Notation,ripon,eng,8.176616,2.0,1.0,3.0
31477,44312103,14:10,william hill extra places every day handicap,nan,3.0,4yo plus,6.0,1319.9999999999998,3.0,4.000000000000002,9.0,123.0,r a fahey,p hanagan,good to firm,George Bowen,ayr,eng,3.0127544,3.0,1.0,3.0
31536,44312111,15:35,follow at the races on twitter handicap,nan,4.0,4yo plus,6.0,1761.0,5.95,7.5,4.0,133.0,joseph parr,hollie doyle,standard,Conscious,lingfield,eng,2.3234158,5.0,1.0,3.0
31540,44312112,16:05,sky sports racing hd virgin 535 handicap,nan,6.0,4yo plus,7.0,2200.0,1.35,4.000000000000002,7.0,128.0,j tuite,rhys clutterbuck,standard,Redgrave,lingfield,eng,2.5011902,4.0,1.0,3.0
31741,44312132,18:20,free tips daily on attheraces.com handicap,nan,4.0,4yo plus,7.0,2200.0,11.05,5.0,5.0,133.0,george baker,nicola currie,good to firm,Waters Edge,windsor,eng,4.8342323,5.0,1.0,3.0
31781,44312136,13:25,irish stallion farms ebf fillies maiden,nan,0.0,2yo only,10.0,1305.0,13.1,4.5,2.0,128.0,donnacha obrien,g m ryan,good,Simply Glorious ,naas ,ire,2.110695,8.0,1.0,3.0
31955,44313110,15:00,follow at the races on twitter handicap,nan,6.0,4yo plus,8.0,1315.0,6.7,5.0,8.0,127.0,ali stronge,hollie doyle,good to firm,Storm Melody,brighton,eng,3.7817593,8.0,1.0,3.0
32298,44314108,16:45,sky sports racing on sky 415 handicap,nan,5.0,3yo only,4.0,1160.0,0.5,3.0,3.0,115.0,m r channon,nicola currie,good to firm,Nodsasgoodasawink,brighton,eng,0.8253165,2.0,1.0,3.0
32740,44315119,16:00,william hill betting tv handicap,nan,6.0,3yo only,8.0,1100.9999999999998,1.45,6.0,3.0,127.0,grant tuer,s h james,good,Royal Jazz,musselburgh,eng,-0.43911543,3.0,1.0,3.0
33145,44316126,15:35,william hill play responsibly handicap,nan,4.0,4yo plus,7.0,1100.9999999999998,6.4,5.499999999999998,7.0,125.0,t d easterby,d allan,good,Afandem,musselburgh,eng,1.7003547,6.0,1.0,3.0
33146,44316127,16:05,william hill racing radio handicap,nan,3.0,4yo plus,3.0,2744.0,0.0,2.5,9.0,118.0,t d easterby,d allan,good,Mukhayyam,musselburgh,eng,0.43242845,1.0,1.0,3.0
33294,44316143,19:05,salessense international novice hurdle,h,0.0,4yo plus,15.0,3520.0,14.65,4.5,6.0,161.0,joseph p obrien,j w kennedy,yielding,Fire Attack,punchestown ,ire,11.244036,5.0,1.0,3.0
33358,44317106,19:40,download the at the races app handicap,nan,4.0,4yo plus,4.0,3629.0,0.0,2.125,6.0,132.0,ian williams,b a curtis,good to firm,Ship Of The Fen,doncaster,eng,7.4059258,1.0,1.0,3.0
36279,44324110,14:35,pertemps network conditions stakes,nan,2.0,3yo plus,4.0,1319.9999999999998,0.0,3.0,7.0,131.0,r varian,e j walsh,heavy,Cape Byron,haydock,eng,6.0827484,1.0,1.0,3.0
37374,44326134,17:30,sky sports racing sky 415 novice stakes,nan,5.0,3yo plus,10.0,1121.0,7.25,3.3333329999999997,3.0,131.0,richard hughes,r l moore,good to soft,Elektronic,windsor,eng,4.3391466,5.0,1.0,3.0
37537,44327104,19:05,visit racingtv.com handicap,nan,6.0,4yo plus,12.0,1590.0,0.0,5.499999999999998,8.0,126.0,j s goldie,harry russell,good,Tommy G,ayr,eng,2.4458008,1.0,1.0,3.0
37735,44327127,18:10,irish examiner handicap,nan,0.0,3yo only,11.0,1791.0,5.25,4.5,3.0,132.0,ms sheila lavery,r c colgan,soft,Supershock,killarney ,ire,3.3831968,6.0,1.0,3.0
38057,44328119,15:00,download the at the races app handicap hurdle,h,4.0,4yo plus,8.0,3520.0,0.0,3.5,6.0,153.0,dr r d p newland,sam twiston-davies,good,Blue Ribbon,worcester,eng,10.724185,1.0,1.0,3.0
38400,44329119,15:00,edinburgh gin handicap chase,c,4.0,5yo plus,6.0,5240.0,28.0,3.0,10.0,168.0,dr r d p newland,sam twiston-davies,soft,Whoshotwho,perth,eng,18.582964,4.0,1.0,3.0
39863,44332120,15:40,sole power sprint stakes (listed race),nan,1.0,3yo plus,10.0,1100.0,0.0,5.499999999999998,3.0,129.0,m j browne,j a heffernan,soft,Logo Hunter,naas ,ire,6.0400333,1.0,1.0,3.0
39887,44332122,16:40,goffs lacken stakes (group 3),nan,1.0,3yo only,9.0,1305.0,6.9,7.5,3.0,128.0,j g murphy,g f carroll,soft,Pale Iris,naas ,ire,4.8696632,8.0,1.0,3.0
41607,44337103,14:25,signs express handicap,nan,6.0,3yo only,12.0,2237.0,10.55,5.0,3.0,122.0,a king,thore hammer hansen,soft,Tinchoo,bath,eng,3.801611,4.0,1.0,3.0
41712,44337114,20:20,every race live on racing tv handicap,nan,5.0,4yo plus,5.0,3052.0,15.75,2.75,6.0,128.0,s dixon,jonathan fisher,heavy,Sociologist ,catterick,eng,6.923549,4.0,1.0,3.0
41820,44337128,15:50,every race live on racing tv handicap,nan,5.0,3yo only,7.0,1797.0,9.2,4.5,3.0,123.0,charlie fellowes,louis steward,heavy,Deputy,haydock,eng,7.887942,4.0,1.0,3.0
41833,44337130,17:40,mansionbet best odds guaranteed handicap chase,c,4.0,5yo plus,7.0,3630.0,5.5,3.5,7.0,161.0,t symonds,benjamin poste,good to soft,Meteorite,worcester,eng,11.794372,3.0,1.0,3.0
43181,44341138,17:45,mchale mayo handicap hurdle,h,0.0,4yo plus,11.0,4840.0,3.25,5.0,7.0,153.0,t mullins,j b foley,soft to heavy,It Could Be You,ballinrobe ,ire,10.898888,3.0,1.0,3.0
43221,44341141,19:15,mchale tiger roll beginners chase,c,0.0,4yo plus,14.0,3740.0,50.45,3.5,6.0,163.0,g p cromwell,j b kane,soft to heavy,You Say Nothing,ballinrobe ,ire,7.7464514,9.0,1.0,3.0
44500,44345120,16:50,every race live on racing tv handicap,nan,4.0,3yo only,9.0,1546.0,11.17,3.5,3.0,128.0,ollie pears,ben robinson,good to soft,Crown Princess,catterick,eng,3.3058357,8.0,1.0,3.0
44708,44345143,16:40,betway casino handicap,nan,4.0,3yo only,9.0,1577.0,1.77,4.5,3.0,125.0,a m balding,s de sousa,good to soft,Melody Of Life,haydock,eng,3.9828491,2.0,1.0,3.0
